,stars,url,forks,language,size,subscribers,network,issues,watchers,pulls,commits,private,license
265,26753,https://github.com/apolloconfig/apollo.git,9812,Java,50256,1288,9812,132,26753,4,2685,False,Apache License 2.0
266,26690,https://github.com/airbnb/lottie-web.git,2667,JavaScript,359395,466,2667,824,26690,23,2257,False,MIT License
267,26650,https://github.com/meilisearch/meilisearch.git,908,Rust,35345,233,908,67,26650,4,3506,False,MIT License
268,26540,https://github.com/acmesh-official/acme.sh.git,3695,Shell,5510,489,3695,892,26540,160,4679,False,GNU General Public License v3.0
269,26522,https://github.com/composer/composer.git,6318,PHP,22733,598,6318,134,26522,15,11604,False,MIT License
270,26430,https://github.com/dbeaver/dbeaver.git,2456,Java,272396,493,2456,1452,26430,16,22594,False,Apache License 2.0
271,26419,https://github.com/jashkenas/underscore.git,5631,JavaScript,6756,861,5631,46,26419,17,2797,False,MIT License
272,26462,https://github.com/typicode/husky.git,937,JavaScript,3044,150,937,16,26462,3,838,False,MIT License
273,26400,https://github.com/aria2/aria2.git,2980,C++,31213,715,2980,906,26400,38,5312,False,Other
274,26369,https://github.com/raywenderlich/swift-algorithm-club.git,4745,Swift,14104,1563,4745,55,26369,27,2534,False,MIT License
275,26346,https://github.com/webtorrent/webtorrent.git,2574,JavaScript,12209,713,2574,109,26346,9,3133,False,MIT License
276,26271,https://github.com/ultralytics/yolov5.git,9350,Python,12402,290,9350,280,26271,15,2008,False,GNU General Public License v3.0
277,26237,https://github.com/postcss/postcss.git,1493,TypeScript,9823,528,1493,13,26237,1,3725,False,MIT License
278,26129,https://github.com/sequelize/sequelize.git,4017,JavaScript,35195,429,4017,801,26129,60,9350,False,MIT License
279,26081,https://github.com/topjohnwu/Magisk.git,6511,C++,56197,1255,6511,32,26081,9,5739,False,GNU General Public License v3.0
280,26032,https://github.com/layui/layui.git,7031,JavaScript,6098,995,7031,745,26032,111,349,False,MIT License
281,25931,https://github.com/chakra-ui/chakra-ui.git,2287,TypeScript,110880,193,2287,91,25931,13,8019,False,MIT License
282,25957,https://github.com/niklasvh/html2canvas.git,4379,TypeScript,117300,511,4379,774,25957,40,1066,False,MIT License
283,25912,https://github.com/hankcs/HanLP.git,7016,Python,72398,1137,7016,4,25912,2,1653,False,Apache License 2.0
